id_person,Season,classifica,Category,league_nam,team_name,team_id,F_P_G,F_C_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G
14210,1989,AAA,MiLB,American Association,Indianapolis,1989_AmericanAssociation_Indianapolis,1,0,0,0,0,0,0,0,0,0
14210,1990,AAA,MiLB,American Association,Indianapolis,1990_AmericanAssociation_Indianapolis,26,0,0,0,0,0,0,0,0,0
14210,1991,AAA,MiLB,American Association,Indianapolis,1991_AmericanAssociation_Indianapolis,20,0,0,0,0,0,0,0,0,0
14210,1992,AAA,MiLB,American Association,Indianapolis,1992_AmericanAssociation_Indianapolis,30,0,0,0,0,0,0,0,0,0
14310,1962,AAA,MiLB,American Association,Indianapolis,1962_AmericanAssociation_Indianapolis,35,0,0,0,0,0,0,0,0,0
14310,1963,AAA,MiLB,International,Indianapolis,1963_International_Indianapolis,24,0,0,0,0,0,0,0,0,0
14310,1964,AAA,MiLB,Pacific Coast,Indianapolis,1964_PacificCoast_Indianapolis,41,0,0,0,0,0,0,0,0,0
14608,1989,AAA,MiLB,American Association,Indianapolis,1989_AmericanAssociation_Indianapolis,0,0,0,0,127,0,0,0,0,0
14741,1965,AAA,MiLB,Pacific Coast,Indianapolis,1965_PacificCoast_Indianapolis,20,0,0,0,0,0,0,0,0,0
14741,1966,AAA,MiLB,Pacific Coast,Indianapolis,1966_PacificCoast_Indianapolis,12,0,0,0,0,0,0,0,0,0
14890,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,9,0,0,0,0,0,0,0,0,0
14957,1991,AAA,MiLB,American Association,Indianapolis,1991_AmericanAssociation_Indianapolis,29,0,0,0,0,0,0,0,0,0
14957,1992,AAA,MiLB,American Association,Indianapolis,1992_AmericanAssociation_Indianapolis,25,0,0,0,0,0,0,0,0,0
14977,1961,AAA,MiLB,American Association,Indianapolis,1961_AmericanAssociation_Indianapolis,0,0,0,0,0,0,140,0,0,0
15149,2004,AAA,MiLB,International,Indianapolis,2004_International_Indianapolis,2,0,0,0,0,0,0,0,0,0
15160,1971,AAA,MiLB,American Association,Indianapolis,1971_AmericanAssociation_Indianapolis,18,0,0,0,0,0,0,0,0,0
15160,1973,AAA,MiLB,American Association,Indianapolis,1973_AmericanAssociation_Indianapolis,18,0,0,0,0,0,0,0,0,0
15160,1974,AAA,MiLB,American Association,Indianapolis,1974_AmericanAssociation_Indianapolis,12,0,0,0,0,0,0,0,0,0
15160,1975,AAA,MiLB,American Association,Indianapolis,1975_AmericanAssociation_Indianapolis,16,0,0,0,0,0,0,0,0,0
15282,1973,AAA,MiLB,American Association,Indianapolis,1973_AmericanAssociation_Indianapolis,0,0,0,0,0,0,100,0,0,0
15282,1974,AAA,MiLB,American Association,Indianapolis,1974_AmericanAssociation_Indianapolis,0,0,0,0,0,0,42,0,0,0
15642,1990,AAA,MiLB,American Association,Indianapolis,1990_AmericanAssociation_Indianapolis,22,0,0,0,0,0,0,0,0,0
15941,1984,AAA,MiLB,American Association,Indianapolis,1984_AmericanAssociation_Indianapolis,42,0,0,0,0,0,0,0,0,0
16241,1994,AAA,MiLB,American Association,Indianapolis,1994_AmericanAssociation_Indianapolis,21,0,0,0,0,0,0,0,0,0
16241,1995,AAA,MiLB,American Association,Indianapolis,1995_AmericanAssociation_Indianapolis,10,0,0,0,0,0,0,0,0,0
16241,1996,AAA,MiLB,American Association,Indianapolis,1996_AmericanAssociation_Indianapolis,8,0,0,0,0,0,0,0,0,0
16241,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,2,0,0,0,0,0,0,0,0,0
16336,1966,AAA,MiLB,Pacific Coast,Indianapolis,1966_PacificCoast_Indianapolis,0,0,0,0,0,0,118,0,0,0
16336,1967,AAA,MiLB,Pacific Coast,Indianapolis,1967_PacificCoast_Indianapolis,0,0,0,0,0,0,89,0,0,0
16378,1960,AAA,MiLB,American Association,Indianapolis,1960_AmericanAssociation_Indianapolis,0,0,0,0,0,0,0,0,0,0
16525,1983,AAA,MiLB,American Association,Indianapolis,1983_AmericanAssociation_Indianapolis,18,0,0,0,0,0,0,0,0,0
