id_person,DoB,PoB_ID,City,State,Country,Region,Group,Lat,Long
237795,1996,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
261065,1985,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
37533,1984,AraguadeBarcelona_Anzoategui_VE,Aragua de Barcelona,Anzoategui,VE,South America,Latin America and the Caribbean,9.454734,-64.831781
169629,1993,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
175395,1984,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
187959,1992,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
226186,1993,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
238207,1996,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
257626,1994,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
267033,1996,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
267402,1996,Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
187414,1994,Araya_Sucre_VE,Araya,Sucre,VE,South America,Latin America and the Caribbean,10.573836,-64.256554
6486,1990,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
6500,1971,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
7032,1950,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
7190,1958,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
8300,1977,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
10221,1975,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
22908,1982,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
26002,1969,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
26839,1989,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
28029,1955,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
30868,1975,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
37116,1966,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
41711,1978,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
42620,1977,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
43453,1988,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
43721,1974,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
62594,1990,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
72706,1953,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
74146,1977,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
80481,1971,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
82630,1970,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
86070,1984,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
88690,1976,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
89792,1988,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
91963,1990,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
103287,1978,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
103989,1979,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
105010,1974,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
112071,1981,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
113968,1977,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
114823,1989,Arecibo_PR,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
